id,distance,stop_count,cost,fitness,internet,additional_info
1,8,4,49000,14,1,Исторический центр Санкт-Петербурга.
2,11,9,42000,25,3,Исторический центр Санкт-Петербурга.
3,23,8,34000,17,1,"Огромная продуманная территория с тематическими зонами, а также 2 муниципальных детских сада и школа."
4,29,10,53000,14,3,"В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк.  В пешей доступности – зелёные набережные рек Охта и Оккервиль, а также благоустроенные парки: Ладожский, Малоохтинский и «Малиновка»"
5,22,7,23000,20,1,
6,21,3,53000,4,2,
7,14,12,34000,16,2,
8,19,12,34000,8,1,Находится в историческом районе сталинской застройки «Ланской» в окружении многочисленных парков. 
9,14,1,29000,12,0,
10,5,3,51000,20,1," Закрытый двор без машин с собственным освещением, посты охраны, детская и спортивная площадки, зона для барбекю, оборудованные площадки для отдыха."
11,11,6,32000,28,4,"Детские игровые площадки, зона отдыха с качелями, площадка для выгула собак, футбольное поле и волейбольно-баскетбольная площадка."
12,3,3,26000,6,2," В ближайшем окружении работают детские сады, школы, гимназии, спортклубы, бассейны, супермаркеты, рестораны, банк."
13,26,1,56000,19,0,
14,25,7,54000,26,0,
15,5,3,31000,3,0,
16,18,8,46000,20,3,
17,5,7,31000,19,0,
18,5,1,56000,28,2,"Для юных жителей будет обустроена велодорожка, для любителей домашних животных – зона для игр и дрессировки питомцев."
19,21,2,50000,14,3,Развитая инфраструктура района
20,25,4,52000,14,0,
21,26,2,46000,14,0,
22,11,7,27000,14,1,"Тематические зоны во дворе: всепогодные игровые площадки и беседки, места для уединенного отдыха, спорта, прогулок"
23,27,4,35000,3,3,
24,25,1,24000,5,2,Исторический центр Санкт-Петербурга.
25,19,2,31000,3,0,
26,5,9,58000,23,2,
27,14,9,25000,8,1,
28,14,5,48000,20,1,
29,23,5,38000,16,3,
30,11,11,57000,21,3,
31,11,10,54000,21,3,
32,15,9,39000,12,4,
33,4,3,52000,26,0,
34,4,12,49000,27,1,
35,27,7,41000,7,4,"Внутренний двор с ландшафтным озеленением, игровыми и спортивными зонами для отдыха, площадка для выгула собак."
36,19,9,56000,9,3,
37,26,7,22000,29,2,
38,24,6,43000,17,4,
39,19,9,58000,7,4,Подземный паркинг
40,20,3,32000,26,4,
41,8,6,59000,29,3,
42,3,7,28000,6,0,
43,19,1,45000,22,0,
44,25,12,37000,7,1,
45,26,10,53000,25,2,
46,27,1,35000,10,0,
47,15,9,57000,26,4,
48,19,5,52000,23,1,"В пешей доступности Муринский парк, Сад «Прометей», сквер Конашевича и другие зоны отдыха"
49,29,10,59000,12,1,Dog-friendly инфраструктура
50,25,5,56000,19,0,
51,9,8,20000,19,1,
52,3,7,42000,26,0,
53,21,1,29000,23,4,
54,10,3,30000,6,4,
55,29,11,43000,20,2,
56,12,12,44000,11,2,
57,18,12,51000,15,3,
58,19,1,55000,21,0,
59,29,12,42000,10,1,
60,6,1,36000,8,1,
61,7,9,25000,9,1,
62,21,11,33000,18,1,
63,17,7,41000,21,4,
64,25,7,22000,19,0,
65,8,1,32000,9,2,
66,24,8,49000,14,3,
67,25,5,22000,7,1,
68,6,12,52000,23,0,
69,23,4,54000,16,2,
70,9,4,27000,23,3,
71,6,3,52000,25,4,
72,20,12,55000,3,1,
73,19,2,57000,28,0,
74,5,2,47000,9,2,
75,8,6,27000,14,3,
76,28,4,40000,28,3,
77,3,6,42000,15,2,
78,24,4,43000,7,0,
79,5,9,37000,6,0,
80,7,1,56000,21,2,
81,8,7,54000,23,4,
82,17,6,51000,21,0,
83,21,3,26000,8,0,
84,6,6,57000,19,2,
85,11,5,53000,18,0,
86,7,7,43000,3,3,
87,15,3,56000,13,3,
88,17,1,31000,23,2,
89,21,12,57000,27,3,
90,6,9,35000,20,0,
91,18,10,35000,28,2,
92,6,3,49000,27,2,
93,24,3,33000,13,0,
94,24,10,26000,10,2,
95,26,12,21000,27,4,
96,28,5,45000,18,4,
97,6,11,27000,3,1,
98,14,8,52000,8,2,
99,28,9,41000,19,2,
100,9,5,54000,11,2,
101,9,6,27000,28,2,
102,26,2,49000,18,4,
103,25,3,46000,14,3,
104,8,4,51000,29,2,
105,12,3,32000,13,4,
106,16,5,24000,14,2,
107,20,1,27000,29,4,
108,10,9,49000,25,3,
109,12,3,44000,5,2,
110,8,12,56000,14,1,
111,23,3,39000,5,0,
112,24,3,32000,18,2,
113,26,7,37000,27,4,
114,12,11,33000,14,3,
115,23,4,34000,21,3,
116,26,12,36000,15,3,
117,4,1,25000,13,1,Исторический центр Санкт-Петербурга.
118,7,5,21000,3,0,
119,3,9,29000,28,1,
120,21,7,49000,28,2,Огороженная площадка для дрессировки собак на территории парка отдыха
121,8,11,45000,14,4,
122,18,10,43000,15,4,
123,15,12,28000,20,2,
124,25,1,31000,9,3,
125,5,5,34000,24,3,
126,16,8,31000,3,2,
127,20,12,47000,27,4,
128,4,6,50000,24,0,
129,10,2,44000,12,0,
130,16,8,40000,16,4,
131,4,3,44000,10,2,"Всепогодные игровые площадки и беседки, места для спорта, прогулок, выгула собак"
132,20,6,48000,22,0,
133,22,5,25000,10,2,
134,8,4,28000,20,4,
135,21,3,54000,26,3,
136,6,1,57000,24,0,
137,25,1,50000,17,2,
138,3,11,54000,8,4,Для прогулки и тренировок с любимыми четвероногими доступна благоустроенная придомовая территория.
139,5,4,20000,27,4,
140,3,3,39000,16,1,
141,8,2,33000,4,4,
142,23,1,24000,19,4,Парк отдыха со специально оборудованными зонами для игры с домашними питомцами.
143,12,3,50000,14,2,
144,19,12,49000,6,3,
145,18,2,35000,19,0,
146,21,2,21000,22,2,
147,9,1,37000,5,1,
148,21,3,37000,19,3,
149,13,4,31000,10,1,
150,19,7,39000,15,1,
151,22,12,21000,16,0,
152,14,10,47000,16,2,
153,15,11,31000,15,3,
154,4,1,41000,25,1,
155,20,9,46000,22,1,Рядом с домом расположены Суздальские озера и Шуваловский парк.
156,19,8,49000,3,2,
157,20,2,39000,8,2,
158,5,1,31000,29,1,
159,22,2,34000,7,4,
160,26,1,31000,26,4,
161,12,1,53000,27,4,"Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак."
162,18,12,40000,13,0,
163,4,5,23000,6,3,Подземный паркинг
164,5,9,36000,25,2,
165,26,7,35000,22,0,
166,15,5,49000,25,2,
167,11,8,54000,8,0,
168,24,5,37000,4,2,
169,4,11,34000,14,3,
170,17,3,39000,3,2,Огороженная площадка для дрессировки собак на территории парка отдыха
171,12,1,59000,18,1,
172,4,9,37000,12,0,
173,29,12,43000,24,3,
174,13,11,28000,13,1,
175,9,4,53000,20,1,
176,13,3,52000,24,4,
177,17,12,27000,5,2,
178,16,2,27000,23,1,Развитая инфраструктура района
179,18,12,22000,21,3,
180,18,8,51000,18,1,Панорама с видом на парк Сосновка. 
181,4,12,35000,5,1,
182,8,9,25000,3,3,
183,10,6,23000,19,1,
184,6,3,26000,24,1,
185,27,10,44000,27,2,
186,27,4,25000,18,4,Развитая инфраструктура района
187,16,10,39000,19,1,
188,8,12,53000,19,1,
189,29,6,29000,29,0,
190,21,12,30000,12,2,
191,5,7,43000,25,2,"Внутренний двор с игровыми и спортивными зонами для отдыха, огороженная дрессировочная площадка для собак."
192,27,8,45000,12,2,
193,13,9,37000,11,2,
194,28,12,28000,13,0,
195,6,7,24000,28,2,Исторический центр Санкт-Петербурга.
196,12,2,23000,25,0,
197,13,3,26000,7,0,
198,28,7,25000,4,2,
199,16,8,27000,6,1,
200,6,3,58000,25,2,Исторический центр Санкт-Петербурга.
